place_id,gas_type,price,longitude,latitude,date
11135,premium,27.99,-98.88785,19.53498,2026-05-22
11135,diesel,27,-98.88785,19.53498,2026-05-22
3533,regular,23.99,-99.14513,19.34969,2026-05-22
3533,premium,29.19,-99.14513,19.34969,2026-05-22
3533,diesel,27,-99.14513,19.34969,2026-05-22
11104,regular,23.7,-98.14952,22.55291,2026-05-22
11104,premium,27.8,-98.14952,22.55291,2026-05-22
11104,diesel,27,-98.14952,22.55291,2026-05-22
3199,regular,23.99,-99.12556,19.31658,2026-05-22
3199,premium,29.29,-99.12556,19.31658,2026-05-22
3296,regular,23.99,-99.15421,19.38059,2026-05-22
3296,premium,29.29,-99.15421,19.38059,2026-05-22
3214,regular,23.99,-106.0295,28.62343,2026-05-22
3214,premium,29.29,-106.0295,28.62343,2026-05-22
3214,diesel,26.99,-106.0295,28.62343,2026-05-22
3254,premium,29.49,-99.16373,19.30743,2026-05-22
3254,regular,23.99,-99.16373,19.30743,2026-05-22
3632,regular,23.99,-99.12687,19.62978,2026-05-22
3632,premium,28.59,-99.12687,19.62978,2026-05-22
3632,diesel,27,-99.12687,19.62978,2026-05-22
3498,regular,23.99,-108.9725,25.77991,2026-05-22
3498,premium,28.99,-108.9725,25.77991,2026-05-22
3498,diesel,27,-108.9725,25.77991,2026-05-22
3480,regular,23.99,-106.2708,23.19423,2026-05-22
3480,premium,28.99,-106.2708,23.19423,2026-05-22
